Date_sampled,pH,Tank_Replicate,n,Shell_length_mm,tin_ID,Tin_Weight_mg,shell_or_tissue,Dry_Sample_Tin_Weight_mg,Dry_Sample_Weight_mg,Ash weight (loss of ignition of tissue tin + dry shell and tissue),AFDW,Notes
10/26/2021,8,A,3,13.28,,0.4072,tissue,0.4191,0.0119,0.5596,0.012,extras for CI and regressions
10/26/2021,8,A,3,13.28,,0.4112,shell,0.5637,0.1525,,,extras for CI and regressions
10/26/2021,8,A,4,9.47,,0.4114,tissue,0.4166,0.0052,0.472,0.0053,extras for CI and regressions
10/26/2021,8,A,4,9.47,,0.4139,shell,0.4746,0.0607,,,extras for CI and regressions
10/26/2021,8,A,5,13.01,,0.4106,tissue,0.4209,0.0103,0.5543,0.0109,extras for CI and regressions
10/26/2021,8,A,5,13.01,,0.41,shell,0.5543,0.1443,,,extras for CI and regressions
10/26/2021,8,A,6,9.85,,0.4075,tissue,0.4136,0.0061,0.4757,0.0058,extras for CI and regressions
10/26/2021,8,A,6,9.85,,0.416,shell,0.4839,0.0679,,,extras for CI and regressions
10/26/2021,8,A,7,12.64,,0.4115,tissue,0.4242,0.0127,0.5328,0.0115,extras for CI and regressions
10/26/2021,8,A,7,12.64,,0.4125,shell,0.5326,0.1201,,,extras for CI and regressions
10/26/2021,8,A,8,11.76,,0.407,tissue,0.4173,0.0103,0.5156,0.0083,extras for CI and regressions
10/26/2021,8,A,8,11.76,,0.4094,shell,0.516,0.1066,,,extras for CI and regressions
10/26/2021,8,A,9,7.45,,0.4086,tissue,0.4111,0.0025,0.435,0.0022,extras for CI and regressions
10/26/2021,8,A,9,7.45,,0.411,shell,0.4371,0.0261,,,extras for CI and regressions
10/26/2021,8,A,10,6.92,,0.4089,tissue,0.4113,0.0024,0.4351,0.0018,extras for CI and regressions
10/26/2021,8,A,10,6.92,,0.4082,shell,0.4338,0.0256,,,extras for CI and regressions
10/26/2021,8,A,11,9.99,6A1,0.4162,tissue,0.4227,0.0065,0.4855,0.0052,extras for CI and regressions
10/26/2021,8,A,11,9.99,6A2,0.4188,shell,0.4868,0.068,,,extras for CI and regressions
10/26/2021,8,A,12,7.19,6A3,0.4155,tissue,0.41779,0.00229,0.4403,0.00239,extras for CI and regressions
10/26/2021,8,A,12,7.19,6A4,0.4233,shell,0.4482,0.0249,,,extras for CI and regressions
10/26/2021,8,A,13,4.39,6A5,0.4076,tissue,0.4081,0.0005,0.412,0.0015,extras for CI and regressions
10/26/2021,8,A,13,4.39,6A6,0.4161,shell,0.4215,0.0054,,,extras for CI and regressions
10/26/2021,8,B,3,13.21,6A7,0.41,tissue,0.4257,0.0157,0.5691,0.0084,extras for CI and regressions
10/26/2021,8,B,3,13.21,6A8,0.4113,shell,0.5631,0.1518,,,extras for CI and regressions
10/26/2021,8,B,4,9.19,6A9,0.4102,tissue,0.4142,0.004,0.4559,0.0025,extras for CI and regressions
10/26/2021,8,B,4,9.19,6A10,0.4126,shell,0.4568,0.0442,,,extras for CI and regressions
10/26/2021,8,B,5,8.56,6A11,0.4162,tissue,0.4212,0.005,0.4652,0.0034,extras for CI and regressions
10/26/2021,8,B,5,8.56,6A12,0.4104,shell,0.4578,0.0474,,,extras for CI and regressions
10/26/2021,8,B,6,5.86,6B3,0.4151,tissue,0.4159,0.0008,0.4275,0,extras for CI and regressions
10/26/2021,8,B,6,5.86,6B4,0.4129,shell,0.4245,0.0116,,,extras for CI and regressions
10/26/2021,8,B,7,5.77,6B5,0.4114,tissue,0.4121,0.0007,0.4227,0.001,extras for CI and regressions
10/26/2021,8,B,7,5.77,6B6,0.4123,shell,0.4239,0.0116,,,extras for CI and regressions
10/26/2021,8,B,8,6.04,6B7,0.4101,tissue,0.4113,0.0012,0.4216,-0.0039,extras for CI and regressions
10/26/2021,8,B,8,6.04,6B8,0.4171,shell,0.4235,0.0064,,,extras for CI and regressions
10/26/2021,8,B,9,11.08,6B9,0.419,tissue,0.4276,0.0086,0.5142,0.0051,extras for CI and regressions
10/26/2021,8,B,9,11.08,6B10,0.4195,shell,0.5112,0.0917,,,extras for CI and regressions
10/26/2021,8,B,10,5.73,6B11,0.4188,tissue,0.4203,0.0015,0.431,0.0015,extras for CI and regressions
10/26/2021,8,B,10,5.73,6B12,0.4163,shell,0.4285,0.0122,,,extras for CI and regressions
10/26/2021,8,B,11,8.68,6C1,0.414,tissue,0.4179,0.0039,0.4536,0.0027,extras for CI and regressions
10/26/2021,8,B,11,8.68,6C2,0.4137,shell,0.4521,0.0384,,,extras for CI and regressions
10/26/2021,8,B,12,12.5,6B1,0.4186,tissue,0.433,0.0144,0.5527,0.0094,extras for CI and regressions
10/26/2021,8,B,12,12.5,6B2,0.4107,shell,0.5398,0.1291,,,extras for CI and regressions
10/26/2021,8,C,1,14.7,6C3,0.414,tissue,0.4337,0.0197,0.591,0.0135,extras for CI and regressions
10/26/2021,8,C,1,14.7,6C4,0.4114,shell,0.5822,0.1708,,,extras for CI and regressions
10/26/2021,8,C,2,13.42,6C5,0.4156,tissue,0.4331,0.0175,0.5844,0.0206,extras for CI and regressions
10/26/2021,8,C,2,13.42,6C6,0.4089,shell,0.5808,0.1719,,,extras for CI and regressions
10/26/2021,8,C,3,11.69,6C7,0.4187,tissue,0.4301,0.0114,0.5352,0.0025,extras for CI and regressions
