Date,Treatment,pH_treatment,Replicate,Fed_unfed,High_Chl_count,Low_Chl_count,Total_count,volume_sample,High_Chl_cell_mL,Low_Chl_cell_mL
9/16/2021,8.0A,8.0,A,fed ,140,"1,624","1,764",47,4242.42,49212.12
9/16/2021,8.0B,8.0,B,fed ,71,"1,334","1,405",33,2151.52,40424.24
9/16/2021,8.0C,8.0,C,fed ,103,"1,374","1,477",33,3121.21,41636.36
9/16/2021,8.0D,8.0,D,fed ,84,"1,039","1,123",33,2545.45,31484.85
9/16/2021,7.5A,7.5,A,fed ,99,"1,932","2,031",33,3000.00,58545.45
9/16/2021,7.5B,7.5,B,fed ,54,"1,753","1,807",33,1636.36,53121.21
9/16/2021,7.5C,7.5,C,fed ,52,"1,838","1,890",33,1575.76,55696.97
9/16/2021,7.5D,7.5,D,fed ,62,"1,827","1,889",33,1878.79,55363.64
9/16/2021,8.0A,8.0,A,unfed,87,"1,118","1,205",33,2636.36,33878.79
9/16/2021,8.0B,8.0,B,unfed,7,"1,105","1,112",33,212.12,33484.85
9/16/2021,8.0C,8.0,C,unfed,12,"1,128","1,140",33,363.64,34181.82
9/16/2021,8.0D,8.0,D,unfed,11,"1,223","1,234",33,333.33,37060.61
9/16/2021,7.5A,7.5,A,unfed,11,"1,616","1,627",33,333.33,48969.70
9/16/2021,7.5B,7.5,B,unfed,11,"1,636","1,647",33,333.33,49575.76
9/16/2021,7.5C,7.5,C,unfed,17,"1,403","1,420",33,515.15,42515.15
9/16/2021,7.5D,7.5,D,unfed,9,"2,206","2,215",33,272.73,66848.48
9/20/2021,8.0A,8.0,A,fed ,44,"1,114","1,158",33,1333.33,33757.58
9/20/2021,8.0B,8.0,B,fed ,12,965,977,33,363.64,29242.42
9/20/2021,8.0C,8.0,C,fed ,40,"1,022","1,062",33,1212.12,30969.70
9/20/2021,8.0D,8.0,D,fed ,58,947,"1,005",33,1757.58,28696.97
9/20/2021,7.5A,7.5,A,fed ,68,"1,027","1,095",33,2060.61,31121.21
9/20/2021,7.5B,7.5,B,fed ,56,"1,059","1,115",33,1696.97,32090.91
9/20/2021,7.5C,7.5,C,fed ,57,"1,188","1,245",33,1727.27,36000.00
9/20/2021,7.5D,7.5,D,fed ,65,"1,124","1,189",33,1969.70,34060.61
9/20/2021,8.0A,8.0,A,unfed,5,753,758,33,151.52,22818.18
9/20/2021,8.0B,8.0,B,unfed,8,"2,225","2,233",33,242.42,67424.24
9/20/2021,8.0C,8.0,C,unfed,9,"1,433","1,442",33,272.73,43424.24
9/20/2021,8.0D,8.0,D,unfed,9,991,"1,000",33,272.73,30030.30
9/20/2021,7.5A,7.5,A,unfed,6,805,811,33,181.82,24393.94
9/20/2021,7.5B,7.5,B,unfed,5,886,891,33,151.52,26848.48
9/20/2021,7.5C,7.5,C,unfed,9,1202,"1,211",33,272.73,36424.24
9/20/2021,7.5D,7.5,D,unfed,10,795,805,33,303.03,24090.91
9/21/2021,8.0A,8.0,A,fed ,48,"1,050","1,098",33,1454.55,31818.18
9/21/2021,8.0B,8.0,B,fed ,10,"1,261","1,271",33,303.03,38212.12
9/21/2021,8.0C,8.0,C,fed ,34,"1,173","1,207",33,1030.30,35545.45
9/21/2021,8.0D,8.0,D,fed ,47,927,974,33,1424.24,28090.91
9/21/2021,7.5A,7.5,A,fed ,32,"1,366","1,398",33,969.70,41393.94
9/21/2021,7.5B,7.5,B,fed ,65,"1,204","1,269",33,1969.70,36484.85
9/21/2021,7.5C,7.5,C,fed ,71,"1,148","1,219",33,2151.52,34787.88
9/21/2021,7.5D,7.5,D,fed ,92,"1,198","1,290",33,2787.88,36303.03
9/21/2021,8.0A,8.0,A,unfed,9,980,989,33,272.73,29696.97
9/21/2021,8.0B,8.0,B,unfed,5,"1,047","1,052",33,151.52,31727.27
9/21/2021,8.0C,8.0,C,unfed,9,921,930,33,272.73,27909.09
9/21/2021,8.0D,8.0,D,unfed,8,929,937,33,242.42,28151.52
9/21/2021,7.5A,7.5,A,unfed,6,"1,046","1,052",33,181.82,31696.97
9/21/2021,7.5B,7.5,B,unfed,6,"1,086","1,092",33,181.82,32909.09
9/21/2021,7.5C,7.5,C,unfed,5,"1,168","1,173",33,151.52,35393.94
9/21/2021,7.5D,7.5,D,unfed,8,940,948,33,242.42,28484.85
9/22/2021,8.0A,8.0,A,fed ,51,"2,081","2,132",33,1545.45,63060.61
9/22/2021,8.0B,8.0,B,fed ,16,"11,018","11,034",33,484.85,333878.79
9/22/2021,8.0C,8.0,C,fed ,56,"2,249","2,305",33,1696.97,68151.52
9/22/2021,8.0D,8.0,D,fed ,77,"4,105","4,182",33,2333.33,124393.94
9/22/2021,7.5A,7.5,A,fed ,69,"1,841","1,910",33,2090.91,55787.88
9/22/2021,7.5B,7.5,B,fed ,64,"2,855","2,919",33,1939.39,86515.15
9/22/2021,7.5C,7.5,C,fed ,95,"3,342","3,437",33,2878.79,101272.73
9/22/2021,7.5D,7.5,D,fed ,95,"5,508","5,603",33,2878.79,166909.09
9/22/2021,8.0A,8.0,A,unfed,4,"1,855","1,859",33,121.21,56212.12
9/22/2021,8.0B,8.0,B,unfed,6,"1,450","1,456",33,181.82,43939.39
9/22/2021,8.0C,8.0,C,unfed,7,"1,331","1,338",33,212.12,40333.33
9/22/2021,8.0D,8.0,D,unfed,8,"2,017","2,025",33,242.42,61121.21
9/22/2021,7.5A,7.5,A,unfed,13,"1,967","1,980",33,393.94,59606.06
9/22/2021,7.5B,7.5,B,unfed,6,"1,215","1,221",33,181.82,36818.18
9/22/2021,7.5C,7.5,C,unfed,2,"1,507","1,509",33,60.61,45666.67
9/22/2021,7.5D,7.5,D,unfed,10,"1,954","1,964",33,303.03,59212.12
9/23/2021,8.0A,8.0,A,fed ,76,"1,071","1,147",33,2303.03,32454.55
9/23/2021,8.0B,8.0,B,fed ,38,"1,168","1,206",33,1151.52,35393.94
9/23/2021,8.0C,8.0,C,fed ,77,"1,095","1,172",33,2333.33,33181.82
9/23/2021,8.0D,8.0,D,fed ,76,"1,169","1,245",33,2303.03,35424.24
9/23/2021,7.5A,7.5,A,fed ,86,"1,066","1,152",33,2606.06,32303.03
9/23/2021,7.5B,7.5,B,fed ,87,"1,042","1,129",33,2636.36,31575.76
9/23/2021,7.5C,7.5,C,fed ,100,"1,093","1,193",33,3030.30,33121.21
9/23/2021,7.5D,7.5,D,fed ,118,977,"1,095",33,3575.76,29606.06
9/23/2021,8.0A,8.0,A,unfed,28,"4,766","4,794",33,848.48,144424.24
9/23/2021,8.0B,8.0,B,unfed,14,"1,191","1,205",33,424.24,36090.91
9/23/2021,8.0C,8.0,C,unfed,22,"3,256","3,278",33,666.67,98666.67
9/23/2021,8.0D,8.0,D,unfed,15,"1,689","1,704",33,454.55,51181.82
9/23/2021,7.5A,7.5,A,unfed,12,"3,564","3,576",33,363.64,108000.00
